,fM3Trans,fAsym,fConc,fDist,fM3Long,fSize,fWidth,fLength,fAlpha
18152,-3.9904,-16.4698,0.6648,61.0713,-7.485,2.2589,10.7285,19.7221,22.0158
2571,-4.4196,32.5576,0.2676,94.1792,31.8729,3.0015,22.6032,50.6311,8.17
12202,-12.2608,-2.9857,0.1816,236.924,28.6082,3.0265,19.4801,32.2804,27.4297
4508,-9.9991,13.7202,0.6737,197.584,18.6435,2.3444,8.7048,22.4688,24.9483
14903,7.8355,14.7015,0.5686,123.84,18.5348,2.1599,9.6981,20.0062,49.2234
11421,13.5827,6.6005,0.4161,142.248,21.3231,2.567,14.9097,25.4301,44.921
8240,8.9408,10.7882,0.6008,97.1281,18.0815,2.4289,12.507,20.0619,56.5554
4741,10.4674,-14.0036,0.7631,47.5687,-17.0895,2.3239,7.0231,20.1664,27.079
14292,44.8997,-171.137,0.2491,307.891,-129.054,3.1875,51.9419,116.4727,4.901
3116,-5.3309,48.0017,0.4505,153.025,9.9661,2.5283,11.4154,36.4776,1.7301
18667,74.6771,-145.2984,0.0869,336.6687,-174.4185,4.1165,83.9576,179.8715,41.9359
14601,-16.6041,-15.8315,0.3886,233.331,-40.5452,2.6875,20.1946,33.2899,14.19
4413,-10.3177,8.4025,0.157,190.618,60.7529,3.684,27.8077,79.1585,1.804
17733,-13.711,-34.8754,0.3771,109.0673,38.5759,2.6395,21.6376,19.2924,41.9359
9386,11.4796,15.2463,0.7186,248.427,-7.4255,2.2,11.1673,12.8534,61.973
7715,7.8892,-14.1057,0.2736,248.103,-48.6699,3.1081,13.291,65.9296,2.038
7423,-23.5879,59.6288,0.1924,246.387,54.2326,2.9841,27.4219,67.855,20.6622
5880,9.7299,34.7172,0.4045,155.237,32.2989,2.4933,11.81,39.6591,13.2274
4166,-10.852,-13.0871,0.4177,122.292,22.7735,2.5179,13.4529,29.3567,23.934
14733,12.9955,25.0356,0.4702,173.7519,23.2299,2.7243,12.636,30.8219,18.0434
17982,13.1476,-93.5671,0.2864,276.7126,-57.6991,2.8094,16.9636,114.12,31.805
14970,-16.8529,28.6697,0.1339,211.489,-22.7664,3.2699,28.2706,46.6248,23.934
17648,-60.4727,-158.202,0.1891,240.98,-136.6972,3.1532,71.9712,162.423,66.1754
14597,17.9548,-18.555,0.1148,91.3089,27.947,3.4188,27.5117,40.8865,19.3319
593,-5.4224,3.5491,0.7509,137.714,-1.9289,2.3054,7.3265,18.337,44.921
9078,15.7351,3.7852,0.1958,159.512,33.8544,3.1561,24.0949,47.6,4.232
16392,-127.11,-128.974,0.156,282.717,-89.2606,3.3742,71.2024,143.3763,76.1383
2049,5.6543,18.6779,0.3083,256.718,22.6222,2.6702,16.6392,36.7526,14.1145
15306,-9.0594,-6.1041,0.3055,197.0325,7.7459,2.88,7.0807,21.0846,80.8572
12007,-4.253,8.6762,0.3209,194.105,11.7581,2.7493,16.0981,30.5069,0.1225
5380,15.7883,11.5399,0.2278,250.684,22.7735,2.9965,20.2325,36.37,5.7144
5987,-5.585,-3.3175,0.7435,249.867,-4.5808,2.2135,7.3964,13.7929,50.3566
1832,-6.8911,31.5284,0.4848,107.627,41.3347,2.3775,12.7012,29.2226,20.7634
10812,-17.7679,51.2458,0.1587,354.993,97.7039,3.5201,33.6521,87.2384,2.628
12122,2.8756,25.2834,0.4631,292.171,-18.1403,2.4472,14.0922,22.8962,1.727
3321,-7.7148,-16.0961,0.6957,139.723,14.0333,2.1599,10.7479,20.1556,1.9805
13669,10.5661,13.5464,0.7768,189.665,-7.7999,2.2589,11.5868,12.7464,72.975
2515,-20.4098,55.8155,0.1936,266.43,51.8604,3.5661,28.1355,63.7085,8.5405
16633,-13.0225,3.7186,0.3233,195.5377,-25.2821,2.8094,13.5002,15.5815,41.2585
8085,-11.4329,-26.2384,0.3144,125.036,21.4067,2.6069,18.1692,29.2226,13.427
